,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
0,northern_cairngorms,2022-03-21 11:43:49,0,494989,601,18426,449483,356993,4102,1
1,monadh_liath,2022-03-21 11:43:49,0,143702,370353,1030,249507,86596,529,0
2,southern_cairngorms,2022-03-21 11:43:49,0,174642,43,11021,449942,278842,6763,18
3,beinn_dearg,2022-03-21 11:43:49,0,46153,4,0,30999,26483,22,0
4,northern_cairngorms,2019-07-15 11:43:59,0,0,1033171,53679,141713,25824,186,70022
5,monadh_liath,2019-07-15 11:43:59,0,21,330449,59131,396586,30952,253,34325
6,southern_cairngorms,2019-07-15 11:43:59,0,177,363710,66996,396797,36928,5335,51328
7,beinn_dearg,2019-07-15 11:43:59,0,0,24178,8758,62693,4261,0,3771
8,northern_cairngorms,2018-03-26 11:21:09,1324595,0,0,0,0,0,0,0
9,monadh_liath,2018-03-26 11:21:09,851717,0,0,0,0,0,0,0
10,southern_cairngorms,2018-03-26 11:21:09,921271,0,0,0,0,0,0,0
11,beinn_dearg,2018-03-26 11:21:09,103661,0,0,0,0,0,0,0
12,northern_cairngorms,2023-01-02 11:33:59,0,626684,352729,221496,88,93186,27539,2873
13,monadh_liath,2023-01-02 11:33:59,0,342794,342381,50393,0,34592,80443,1114
14,southern_cairngorms,2023-01-02 11:33:59,0,586801,18056,213183,406,90265,12539,21
15,beinn_dearg,2023-01-02 11:33:59,0,67060,26566,692,0,9097,10,236
16,northern_cairngorms,2019-10-17 11:21:19,1324595,0,0,0,0,0,0,0
17,monadh_liath,2019-10-17 11:21:19,851717,0,0,0,0,0,0,0
18,southern_cairngorms,2019-10-17 11:21:19,921271,0,0,0,0,0,0,0
19,beinn_dearg,2019-10-17 11:21:19,103661,0,0,0,0,0,0,0
20,northern_cairngorms,2022-05-14 11:21:09,1324595,0,0,0,0,0,0,0
21,monadh_liath,2022-05-14 11:21:09,851717,0,0,0,0,0,0,0
22,southern_cairngorms,2022-05-14 11:21:09,921271,0,0,0,0,0,0,0
23,beinn_dearg,2022-05-14 11:21:09,103661,0,0,0,0,0,0,0
24,northern_cairngorms,2022-01-09 11:24:41,1324595,0,0,0,0,0,0,0
25,monadh_liath,2022-01-09 11:24:41,851717,0,0,0,0,0,0,0
26,southern_cairngorms,2022-01-09 11:24:41,921271,0,0,0,0,0,0,0
27,beinn_dearg,2022-01-09 11:24:41,103661,0,0,0,0,0,0,0
28,northern_cairngorms,2023-02-18 11:21:09,1324595,0,0,0,0,0,0,0
29,monadh_liath,2023-02-18 11:21:09,851717,0,0,0,0,0,0,0
30,southern_cairngorms,2023-02-18 11:21:09,921271,0,0,0,0,0,0,0
31,beinn_dearg,2023-02-18 11:21:09,103661,0,0,0,0,0,0,0
32,northern_cairngorms,2020-07-31 11:33:31,0,197,264632,50070,885421,82322,4548,37405
33,monadh_liath,2020-07-31 11:33:31,0,0,210337,32508,555730,21534,161,31447
34,southern_cairngorms,2020-07-31 11:33:31,0,0,179774,10393,669136,21156,6249,34563
35,beinn_dearg,2020-07-31 11:33:31,0,31,48643,4687,36085,4771,5,9439
